Traffic,Employees,Database Interaction,Database Size,Access Layers,Roles,Database Severity,Monitoring,IDS/IPS,Authentication Method,Encryption,Firewall,Access Management,Rules and Regulations,Compliance Management,Framework,Cookie Management,Disaster Recovery & Backup
10k-100k,670,No Interaction,200-400GB,4,5,Medium,Complete,Custom IDS/IPS,MFA,RSA + AES-256,UTM Firewall,Policy-based,"PCI DSS, GDPR",ISO27017,COBIT,Advanced,Redundant Backup Systems
1-10k,60,Partial Interaction,200-400GB,3,5,High,Complete,Suricata IPS,MFA,AES-256,Advanced FW,Role-based,"GDPR, ISO27001",ISO27001,NIST CSF,Enabled,Geo-Distributed Backup
500k-1m,680,Partial Interaction,0-100GB,5,8,Medium,Complete,Custom IDS/IPS,MFA,RSA + AES-256,Basic Firewall,Attribute-based,"ISO27017, GDPR",ISO27017,COBIT,Enabled,On-Prem Backup
10k-100k,310,No Interaction,0-100GB,5,4,High,Complete,Custom IDS/IPS,MFA + Biometrics,AES-128,Basic Firewall,Role-based,"HIPAA, GDPR",SOC 2,OWASP,Advanced,Redundant Backup Systems
1-10k,270,Partial Interaction,100-200GB,4,5,Medium,Partial,Custom IDS/IPS,PKI,ECC,Basic Firewall,Attribute-based,"PCI DSS, GDPR",ISO27001,Zero Trust,Advanced,On-Prem Backup
100k-500k,130,Partial Interaction,400+GB,4,3,High,Complete,Zeek IDS,Password-based,AES-128,UTM Firewall,Role-based,"HIPAA, GDPR",ISO27017,NIST CSF,Enabled,Redundant Backup Systems
100k-500k,260,No Interaction,0-100GB,4,5,Medium,Partial,Custom IDS/IPS,MFA + Biometrics,ECC,UTM Firewall,Attribute-based,"HIPAA, GDPR",ISO27001,COBIT,Advanced,On-Prem Backup
500k-1m,840,Partial Interaction,400+GB,5,6,High,Partial,Suricata IPS,PKI,ECC,Advanced FW,Attribute-based,"PCI DSS, GDPR",ISO27001,NIST CSF,Advanced,On-Prem Backup
500k-1m,100,No Interaction,0-100GB,5,7,Low,Partial,Custom IDS/IPS,PKI,AES-256,Next-Gen FW,Attribute-based,"PCI DSS, GDPR",SOC 2,Zero Trust,Enabled,Cloud Backup
500k-1m,390,No Interaction,400+GB,5,4,High,Complete,Custom IDS/IPS,MFA,RSA + AES-256,Advanced FW,Attribute-based,"GDPR, ISO27001",ISO27001,NIST CSF,Enabled,Redundant Backup Systems
500k-1m,990,No Interaction,200-400GB,5,6,Low,Complete,Zeek IDS,MFA,AES-256,Next-Gen FW,Policy-based,"PCI DSS, GDPR",ISO27001,NIST CSF,Enabled,Geo-Distributed Backup
100k-500k,160,No Interaction,200-400GB,5,10,Medium,Partial,Zeek IDS,MFA + Biometrics,AES-256,Advanced FW,Role-based,"HIPAA, GDPR",SOC 2,Zero Trust,Enabled,On-Prem Backup
500k-1m,960,No Interaction,0-100GB,4,7,Medium,Complete,Snort IDS,MFA + Biometrics,AES-128,Basic Firewall,Role-based,"GDPR, ISO27001",ISO27017,Zero Trust,Enabled,Cloud Backup
100k-500k,940,No Interaction,400+GB,5,8,High,Partial,Suricata IPS,PKI,RSA + AES-256,Advanced FW,Attribute-based,"GDPR, ISO27001",ISO27001,Zero Trust,Enabled,Geo-Distributed Backup
1-10k,450,No Interaction,100-200GB,4,8,High,Partial,Zeek IDS,MFA,RSA + AES-256,Advanced FW,Policy-based,"PCI DSS, GDPR",ISO27017,Zero Trust,Enabled,On-Prem Backup
500k-1m,720,Partial Interaction,0-100GB,5,9,High,Partial,Zeek IDS,Password-based,AES-256,Next-Gen FW,Role-based,"HIPAA, GDPR",ISO27017,NIST CSF,Enabled,Geo-Distributed Backup
500k-1m,560,No Interaction,0-100GB,5,6,High,Complete,Zeek IDS,MFA,AES-256,Advanced FW,Attribute-based,"GDPR, ISO27001",PCI DSS,Zero Trust,Enabled,Cloud Backup
1-10k,690,Partial Interaction,400+GB,5,10,Medium,Partial,Custom IDS/IPS,MFA,AES-128,Basic Firewall,Policy-based,"HIPAA, GDPR",PCI DSS,COBIT,Enabled,Cloud Backup
1-10k,510,Partial Interaction,200-400GB,4,4,Medium,Partial,Zeek IDS,PKI,AES-256,Next-Gen FW,Attribute-based,"HIPAA, GDPR",PCI DSS,OWASP,Enabled,Redundant Backup Systems
500k-1m,790,Partial Interaction,0-100GB,3,4,Low,Complete,Custom IDS/IPS,PKI,AES-256,Next-Gen FW,Attribute-based,"GDPR, ISO27001",PCI DSS,OWASP,Enabled,On-Prem Backup
100k-500k,120,Partial Interaction,100-200GB,3,5,Low,Complete,Snort IDS,MFA + Biometrics,AES-128,Advanced FW,Policy-based,"GDPR, ISO27001",ISO27001,NIST CSF,Advanced,Geo-Distributed Backup
10k-100k,700,Partial Interaction,0-100GB,4,10,High,Complete,Zeek IDS,Password-based,ECC,UTM Firewall,Role-based,"GDPR, ISO27001",ISO27001,OWASP,Enabled,On-Prem Backup
1-10k,220,No Interaction,400+GB,4,3,High,Complete,Suricata IPS,MFA + Biometrics,RSA + AES-256,Basic Firewall,Role-based,"HIPAA, GDPR",ISO27017,NIST CSF,Advanced,Redundant Backup Systems
1-10k,380,No Interaction,100-200GB,5,5,High,Complete,Zeek IDS,Password-based,AES-256,UTM Firewall,Attribute-based,"GDPR, ISO27001",SOC 2,COBIT,Advanced,Redundant Backup Systems
1-10k,700,Partial Interaction,200-400GB,5,7,Low,Complete,Zeek IDS,Password-based,RSA + AES-256,UTM Firewall,Attribute-based,"GDPR, ISO27001",ISO27017,COBIT,Enabled,Redundant Backup Systems
1-10k,80,No Interaction,400+GB,4,5,High,Complete,Snort IDS,MFA + Biometrics,RSA + AES-256,UTM Firewall,Policy-based,"HIPAA, GDPR",ISO27001,COBIT,Enabled,On-Prem Backup
1-10k,340,Partial Interaction,200-400GB,3,8,Medium,Partial,Zeek IDS,PKI,AES-128,Basic Firewall,Role-based,"PCI DSS, GDPR",ISO27017,OWASP,Enabled,Redundant Backup Systems
500k-1m,110,Partial Interaction,0-100GB,4,4,Low,Complete,Zeek IDS,PKI,ECC,Basic Firewall,Policy-based,"HIPAA, GDPR",ISO27001,COBIT,Advanced,On-Prem Backup
500k-1m,410,Partial Interaction,100-200GB,5,6,Medium,Complete,Custom IDS/IPS,MFA,ECC,Next-Gen FW,Attribute-based,"PCI DSS, GDPR",ISO27017,Zero Trust,Advanced,Geo-Distributed Backup
1-10k,240,Partial Interaction,100-200GB,4,7,Medium,Partial,Suricata IPS,MFA,ECC,Next-Gen FW,Role-based,"HIPAA, GDPR",SOC 2,COBIT,Advanced,On-Prem Backup
500k-1m,790,No Interaction,200-400GB,4,7,High,Complete,Suricata IPS,MFA + Biometrics,AES-128,UTM Firewall,Role-based,"GDPR, ISO27001",ISO27001,OWASP,Advanced,Cloud Backup
1-10k,340,No Interaction,100-200GB,5,6,Low,Partial,Custom IDS/IPS,MFA + Biometrics,RSA + AES-256,Next-Gen FW,Role-based,"HIPAA, GDPR",SOC 2,NIST CSF,Enabled,On-Prem Backup
100k-500k,680,No Interaction,100-200GB,3,5,High,Complete,Custom IDS/IPS,MFA + Biometrics,AES-128,Basic Firewall,Policy-based,"ISO27017, GDPR",PCI DSS,COBIT,Advanced,Redundant Backup Systems
100k-500k,400,No Interaction,100-200GB,4,3,High,Complete,Zeek IDS,MFA + Biometrics,AES-128,Advanced FW,Attribute-based,"PCI DSS, GDPR",PCI DSS,NIST CSF,Enabled,Redundant Backup Systems
500k-1m,720,Partial Interaction,200-400GB,5,5,Low,Complete,Zeek IDS,MFA + Biometrics,AES-128,Advanced FW,Role-based,"HIPAA, GDPR",SOC 2,NIST CSF,Enabled,Redundant Backup Systems
100k-500k,480,Partial Interaction,200-400GB,5,9,Low,Partial,Suricata IPS,MFA,AES-256,Advanced FW,Attribute-based,"HIPAA, GDPR",PCI DSS,Zero Trust,Enabled,Redundant Backup Systems
10k-100k,260,Partial Interaction,200-400GB,3,7,Low,Complete,Custom IDS/IPS,Password-based,ECC,Next-Gen FW,Policy-based,"PCI DSS, GDPR",ISO27001,NIST CSF,Advanced,On-Prem Backup
100k-500k,350,No Interaction,400+GB,3,7,Low,Complete,Snort IDS,Password-based,RSA + AES-256,Next-Gen FW,Policy-based,"ISO27017, GDPR",PCI DSS,OWASP,Advanced,Redundant Backup Systems
1-10k,670,Partial Interaction,0-100GB,3,6,Low,Partial,Zeek IDS,Password-based,AES-128,Basic Firewall,Attribute-based,"HIPAA, GDPR",PCI DSS,NIST CSF,Enabled,Geo-Distributed Backup
500k-1m,940,Partial Interaction,100-200GB,5,3,Medium,Partial,Zeek IDS,PKI,AES-256,Advanced FW,Attribute-based,"PCI DSS, GDPR",PCI DSS,NIST CSF,Enabled,Geo-Distributed Backup
1-10k,730,No Interaction,400+GB,3,7,High,Partial,Custom IDS/IPS,MFA,AES-128,Next-Gen FW,Attribute-based,"ISO27017, GDPR",SOC 2,OWASP,Advanced,Redundant Backup Systems
10k-100k,370,Partial Interaction,400+GB,4,4,Medium,Complete,Snort IDS,Password-based,AES-256,Next-Gen FW,Role-based,"ISO27017, GDPR",PCI DSS,COBIT,Enabled,Redundant Backup Systems
100k-500k,920,No Interaction,400+GB,5,6,Low,Complete,Zeek IDS,Password-based,ECC,UTM Firewall,Policy-based,"ISO27017, GDPR",ISO27001,COBIT,Enabled,Cloud Backup
500k-1m,900,No Interaction,200-400GB,5,7,High,Complete,Zeek IDS,MFA + Biometrics,AES-256,Basic Firewall,Attribute-based,"HIPAA, GDPR",ISO27017,NIST CSF,Enabled,Redundant Backup Systems
100k-500k,780,Partial Interaction,0-100GB,3,9,Medium,Partial,Custom IDS/IPS,Password-based,ECC,Basic Firewall,Attribute-based,"HIPAA, GDPR",SOC 2,COBIT,Advanced,On-Prem Backup
10k-100k,140,No Interaction,100-200GB,4,5,Medium,Partial,Snort IDS,MFA + Biometrics,ECC,Next-Gen FW,Attribute-based,"PCI DSS, GDPR",ISO27017,Zero Trust,Advanced,On-Prem Backup
10k-100k,850,No Interaction,200-400GB,3,8,Low,Partial,Custom IDS/IPS,MFA + Biometrics,AES-256,UTM Firewall,Role-based,"PCI DSS, GDPR",ISO27017,NIST CSF,Enabled,Cloud Backup
100k-500k,370,Partial Interaction,200-400GB,4,6,Low,Complete,Custom IDS/IPS,Password-based,RSA + AES-256,UTM Firewall,Role-based,"PCI DSS, GDPR",ISO27001,Zero Trust,Advanced,Geo-Distributed Backup
